Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.0151971828	101325	101325	101325	101325	0	0	0	0	0	0	3
2	8	0	0.0303943656	101325	101325	101325	101325	0	0	0	0	0	0	3
3	9	0	0.0455915484	101325	101325	101325	101325	0	0	0	0	0	0	3
4	9	0	0.0607887312	101325	101325	101325	101325	0	0	0	0	0	0	3
5	10	0	0.0759859141	101325	101325	101325	101325	0	0	0	0	0	0	3
6	11	0	0.0911830969	101325	101325	101325	101325	0	0	0	0	0	0	3
7	12	0	0.10638028	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
8	13	0	0.121577462	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
9	14	0	0.136774645	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
10	15	0	0.151971828	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
11	16	0	0.167169011	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
12	16	0	0.182366194	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
13	17	0	0.197563377	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
14	18	0	0.212760559	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
15	18	0	0.227957742	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
16	19	0	0.243154925	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
17	20	0	0.258352108	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
18	21	0	0.273549291	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
19	22	0	0.288746473	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
20	23	0	0.303943656	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
21	23	0	0.319140839	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
22	24	0	0.334338022	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
23	25	0	0.349535205	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	3
