Iteration	CPUTime	PhysTime	Travels
1	7	0	0.0151971828
2	8	0	0.0303943656
3	9	0	0.0455915484
4	9	0	0.0607887312
5	10	0	0.0759859141
6	11	0	0.0911830969
7	12	0	0.10638028
8	13	0	0.121577462
9	14	0	0.136774645
10	15	0	0.151971828
11	16	0	0.167169011
12	16	0	0.182366194
13	17	0	0.197563377
14	18	0	0.212760559
15	18	0	0.227957742
16	19	0	0.243154925
17	20	0	0.258352108
18	21	0	0.273549291
19	22	0	0.288746473
20	23	0	0.303943656
21	23	0	0.319140839
22	24	0	0.334338022
23	25	0	0.349535205
24	26	0	0.364732387
25	27	0	0.37992957
26	28	0	0.395126753
27	28	0	0.410323936
28	29	0	0.425521119
29	30	0	0.440718302
30	31	0	0.455915484
31	32	0	0.471112667
32	32	0	0.48630985
33	33	0	0.501507033
34	34	0	0.516704216
35	35	0	0.531901398
36	36	0	0.547098581
37	37	0	0.562295764
38	38	0	0.577492947
39	39	0	0.59269013
40	40	0	0.607887312
41	40	0	0.623084495
42	41	0	0.638281678
43	42	0	0.653478861
44	42	0	0.668676044
45	43	0	0.683873226
46	44	0	0.699070409
47	45	0	0.714267592
48	46	0	0.729464775
49	47	0	0.744661958
50	48	0	0.759859141
51	49	0	0.775056323
52	49	0	0.790253506
53	50	0	0.805450689
54	51	0	0.820647872
55	52	0	0.835845055
56	52	0	0.851042237
57	53	0	0.86623942
58	54	0	0.881436603
59	55	0	0.896633786
60	55	0	0.911830969
61	56	0	0.927028151
62	57	0	0.942225334
63	57	0	0.957422517
64	58	0	0.9726197
65	59	0	0.987816883
66	59	0	1.00301407
