Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.0151971828	293.2	293.2	293.2	293.2	0	0	0	0	0	0	3
2	8	0	0.0303943656	293.2	293.2	293.2	293.2	3.86535248e-12	0	0	0	0	0	3
3	9	0	0.0455915484	293.2	293.2	293.2	293.2	7.67386155e-12	0	0	0	0	0	3
4	9	0	0.0607887312	293.2	293.2	293.2	293.2	1.12549969e-11	0	0	0	0	0	3
5	10	0	0.0759859141	293.2	293.2	293.2	293.2	1.50066626e-11	0	0	0	0	0	3
6	11	0	0.0911830969	293.2	293.2	293.2	293.2	2.10889084e-11	0	0	0	0	0	3
7	12	0	0.10638028	293.2	293.2	293.2	293.2	3.7459813e-11	0	0	0	0	0	3
8	13	0	0.121577462	293.2	293.2	293.2	293.2	9.65201252e-11	0	0	0	0	0	3
9	14	0	0.136774645	293.2	293.2	293.2	293.2	2.16346052e-10	0	0	0	0	0	3
10	15	0	0.151971828	293.2	293.2	293.2	293.2	3.3901415e-10	0	0	0	0	0	3
11	16	0	0.167169011	293.2	293.2	293.2	293.2	4.41900738e-10	0	0	0	0	0	3
12	16	0	0.182366194	293.2	293.2	293.2	293.2	5.27336397e-10	0	0	0	0	0	3
13	17	0	0.197563377	293.2	293.2	293.2	293.2	5.99357008e-10	0	0	0	0	0	3
14	18	0	0.212760559	293.2	293.2	293.2	293.2	6.60747901e-10	0	0	0	0	0	3
15	18	0	0.227957742	293.2	293.2	293.2	293.2	7.13782811e-10	0	0	0	0	0	3
16	19	0	0.243154925	293.2	293.2	293.2	293.2	7.59939667e-10	0	0	0	0	0	3
17	20	0	0.258352108	293.2	293.2	293.2	293.2	8.00469024e-10	0	0	0	0	0	3
18	21	0	0.273549291	293.2	293.2	293.2	293.2	8.36223535e-10	0	0	0	0	0	3
19	22	0	0.288746473	293.2	293.2	293.2	293.2	8.68055849e-10	0	0	0	0	0	3
20	23	0	0.303943656	293.2	293.2	293.2	293.2	8.96534402e-10	0	0	0	0	0	3
21	23	0	0.319140839	293.2	293.2	293.2	293.2	9.22170784e-10	0	0	0	0	0	3
22	24	0	0.334338022	293.2	293.2	293.2	293.2	9.45249212e-10	0	0	0	0	0	3
23	25	0	0.349535205	293.2	293.2	293.2	293.2	9.6616759e-10	0	0	0	0	0	3
24	26	0	0.364732387	293.2	293.2	293.2	293.2	9.85210136e-10	0	0	0	0	0	3
25	27	0	0.37992957	293.2	293.2	293.2	293.2	1.00266107e-09	0	0	0	0	0	3
26	28	0	0.395126753	293.2	293.2	293.2	293.2	1.01852038e-09	0	0	0	0	0	3
27	28	0	0.410323936	293.2	293.2	293.2	293.2	1.03312914e-09	0	0	0	0	0	3
28	29	0	0.425521119	293.2	293.2	293.2	293.2	1.04660103e-09	0	0	0	0	0	3
29	30	0	0.440718302	293.2	293.2	293.2	293.2	1.05904974e-09	0	0	0	0	0	3
30	31	0	0.455915484	293.2	293.2	293.2	293.2	1.07047526e-09	0	0	0	0	0	3
31	32	0	0.471112667	293.2	293.2	293.2	293.2	1.08110498e-09	0	0	0	0	0	3
32	32	0	0.48630985	293.2	293.2	293.2	293.2	1.09093889e-09	0	0	0	0	0	3
33	33	0	0.501507033	293.2	293.2	293.2	293.2	1.10009069e-09	0	0	0	0	0	3
34	34	0	0.516704216	293.2	293.2	293.2	293.2	1.13834631e-09	0	0	0	0	0	3
35	35	0	0.531901398	293.2	293.2	293.2	293.2	1.17626087e-09	0	0	0	0	0	3
36	36	0	0.547098581	293.2	293.2	293.2	293.2	1.21417543e-09	0	0	0	0	0	3
37	37	0	0.562295764	293.2	293.2	293.2	293.2	1.25152155e-09	0	0	0	0	0	3
38	38	0	0.577492947	293.2	293.2	293.2	293.2	1.28625288e-09	0	0	0	0	0	3
