Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0223316486	0	0	0	0	0	0	0	0	0	0	3
2	5	0	0.0446632973	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0669949459	0	0	0	0	0	0	0	0	0	0	3
4	5	0	0.0893265946	0	0	0	0	0	0	0	0	0	0	3
5	5	0	0.111658243	0	0	0	0	0	0	0	0	0	0	3
6	6	0	0.133989892	0	0	0	0	0	0	0	0	0	0	3
7	6	0	0.156321541	0	0	0	0	0	0	0	0	0	0	3
8	6	0	0.178653189	0	0	0	0	0	0	0	0	0	0	3
9	7	0	0.200984838	0	0	0	0	0	0	0	0	0	0	3
10	7	0	0.223316486	0	0	0	0	0	0	0	0	0	0	3
11	7	0	0.245648135	0	0	0	0	0	0	0	0	0	0	3
12	8	0	0.267979784	0	0	0	0	0	0	0	0	0	0	3
13	8	0	0.290311432	0	0	0	0	0	0	0	0	0	0	3
14	8	0	0.312643081	0	0	0	0	0	0	0	0	0	0	3
15	9	0	0.33497473	0	0	0	0	0	0	0	0	0	0	3
16	9	0	0.357306378	0	0	0	0	0	0	0	0	0	0	3
17	10	0	0.379638027	0	0	0	0	0	0	0	0	0	0	3
18	10	0	0.401969676	0	0	0	0	0	0	0	0	0	0	3
19	10	0	0.424301324	0	0	0	0	0	0	0	0	0	0	3
20	10	0	0.446632973	0	0	0	0	0	0	0	0	0	0	3
21	11	0	0.468964622	0	0	0	0	0	0	0	0	0	0	3
22	11	0	0.49129627	0	0	0	0	0	0	0	0	0	0	3
23	12	0	0.513627919	0	0	0	0	0	0	0	0	0	0	3
24	12	0	0.535959568	0	0	0	0	0	0	0	0	0	0	3
25	12	0	0.558291216	0	0	0	0	0	0	0	0	0	0	3
26	13	0	0.580622865	0	0	0	0	0	0	0	0	0	0	3
27	13	0	0.602954514	0	0	0	0	0	0	0	0	0	0	3
28	13	0	0.625286162	0	0	0	0	0	0	0	0	0	0	3
29	14	0	0.647617811	0	0	0	0	0	0	0	0	0	0	3
30	14	0	0.669949459	0	0	0	0	0	0	0	0	0	0	3
31	14	0	0.692281108	0	0	0	0	0	0	0	0	0	0	3
32	15	0	0.714612757	0	0	0	0	0	0	0	0	0	0	3
33	15	0	0.736944405	0	0	0	0	0	0	0	0	0	0	3
34	15	0	0.759276054	0	0	0	0	0	0	0	0	0	0	3
35	16	0	0.781607703	0	0	0	0	0	0	0	0	0	0	3
36	16	0	0.803939351	0	0	0	0	0	0	0	0	0	0	3
37	16	0	0.826271	0	0	0	0	0	0	0	0	0	0	3
38	17	0	0.848602649	0	0	0	0	0	0	0	0	0	0	3
39	17	0	0.870934297	0	0	0	0	0	0	0	0	0	0	3
40	17	0	0.893265946	0	0	0	0	0	0	0	0	0	0	3
41	18	0	0.915597595	0	0	0	0	0	0	0	0	0	0	3
42	18	0	0.937929243	0	0	0	0	0	0	0	0	0	0	3
43	18	0	0.960260892	0	0	0	0	0	0	0	0	0	0	3
44	18	0	0.982592541	0	0	0	0	0	0	0	0	0	0	3
45	19	0	1.00492419	0	0	0	0	0	5e-06	0	100	0	0	3
46	19	0	1.02725584	0	0	0	0	0	5e-06	0	100	0	0	3
47	20	0	1.04958749	0	0	0	0	0	5e-06	0	100	0	0	3
48	20	0	1.07191914	0	0	0	0	0	5e-06	0	100	0	0	3
49	20	0	1.09425078	0	0	0	0	0	5e-06	0	100	0	0	3
50	21	0	1.11658243	0	0	0	0	0	5e-06	0	100	0	0	3
51	21	0	1.13891408	0	0	0	0	0	5e-06	0	100	0	0	3
52	22	0	1.16124573	0	0	0	0	0	5e-06	0	100	0	0	3
53	22	0	1.18357738	0	0	0	0	0	5e-06	0	100	0	0	3
54	23	0	1.20590903	0	0	0	0	0	5e-06	0	100	0	0	3
55	23	0	1.22824068	0	0	0	0	0	5e-06	0	100	0	0	3
56	23	0	1.25057232	0	0	0	0	0	5e-06	0	100	0	0	3
57	24	0	1.27290397	0	0	0	0	0	5e-06	0	100	0	0	3
58	24	0	1.29523562	0	0	0	0	0	5e-06	0	100	0	0	3
59	24	0	1.31756727	0	0	0	0	0	5e-06	0	100	0	0	3
60	25	0	1.33989892	0	0	0	0	0	5e-06	0	100	0	0	3
61	25	0	1.36223057	0	0	0	0	0	5e-06	0	100	0	0	3
62	26	0	1.38456222	0	0	0	0	0	5e-06	0	100	0	0	3
63	26	0	1.40689386	0	0	0	0	0	5e-06	0	100	0	0	3
