Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0223316486	120020.218	120020.218	120020.218	120020.218	0	0	0	0	0	0	3
2	5	0	0.0446632973	108829.188	114424.703	108829.188	120020.218	5595.51508	0	0	0	0	0	3
3	5	0	0.0669949459	105727.581	111525.662	105727.581	120020.218	8494.55573	0	0	0	0	0	3
4	5	0	0.0893265946	105339.299	109979.071	105339.299	120020.218	10041.1466	0	0	0	0	0	3
5	5	0	0.111658243	105502.689	109083.795	105339.299	120020.218	10936.423	0	0	0	0	0	3
6	6	0	0.133989892	105703.933	108520.485	105339.299	120020.218	11499.7333	0	0	0	0	0	3
7	6	0	0.156321541	105916.219	108148.447	105339.299	120020.218	11871.7713	0	0	0	0	0	3
8	6	0	0.178653189	106185.47	107903.075	105339.299	120020.218	12117.1434	0	0	0	0	0	3
9	7	0	0.200984838	106498.635	107747.026	105339.299	120020.218	12273.1922	0	0	0	0	0	3
10	7	0	0.223316486	106567.902	107629.113	105339.299	120020.218	12391.1046	0	0	0	0	0	3
11	7	0	0.245648135	108253.182	107685.847	105339.299	120020.218	12391.1046	0	0	0	0	0	3
12	8	0	0.267979784	108715.897	107771.684	105339.299	120020.218	12391.1046	0	0	0	0	0	3
13	8	0	0.290311432	109022.009	107867.863	105339.299	120020.218	12391.1046	0	0	0	0	0	3
14	8	0	0.312643081	109244.903	107966.223	105339.299	120020.218	12391.1046	0	0	0	0	0	3
15	9	0	0.33497473	109453.27	108065.36	105339.299	120020.218	12391.1046	0	0	0	0	0	3
16	9	0	0.357306378	109557.803	108158.637	105339.299	120020.218	12391.1046	0	0	0	0	0	3
17	10	0	0.379638027	109661.08	108247.016	105339.299	120020.218	12391.1046	0	0	0	0	0	3
18	10	0	0.401969676	109857.269	108336.475	105339.299	120020.218	12391.1046	0	0	0	0	0	3
19	10	0	0.424301324	109902.458	108418.895	105339.299	120020.218	12391.1046	0	0	0	0	0	3
20	10	0	0.446632973	110044.163	108500.158	105339.299	120020.218	12391.1046	0	0	0	0	0	3
21	11	0	0.468964622	110252.987	108583.626	105339.299	120020.218	12391.1046	0	0	0	0	0	3
22	11	0	0.49129627	110325.07	108662.783	105339.299	120020.218	12391.1046	0	0	0	0	0	3
23	12	0	0.513627919	110430.14	108739.625	105339.299	120020.218	12391.1046	0	0	0	0	0	3
24	12	0	0.535959568	110503.545	108325.856	105339.299	110503.545	5164.24636	0	0	0	0	0	3
25	12	0	0.558291216	110593.29	108402.556	105339.299	110593.29	3896.54885	0	0	0	0	0	3
26	13	0	0.580622865	110846.639	108625.124	105339.299	110846.639	2349.95802	0	0	0	0	0	3
27	13	0	0.602954514	110915.1	108867.55	105502.689	110915.1	1454.68161	0	0	0	0	0	3
28	13	0	0.625286162	110934.926	109103.734	105703.933	110934.926	1474.62099	0	0	0	0	0	3
29	14	0	0.647617811	110976.919	109332.995	105916.219	110976.919	1703.88128	0	0	0	0	0	3
30	14	0	0.669949459	110957.125	109552.164	106185.47	110976.919	1923.05111	0	0	0	0	0	3
31	14	0	0.692281108	111179.188	109769.283	106498.635	111179.188	2140.16927	0	0	0	0	0	3
32	15	0	0.714612757	111311.304	109978.529	106567.902	111311.304	2349.41576	0	0	0	0	0	3
33	15	0	0.736944405	111437.382	110190.246	108253.182	111437.382	2504.39881	0	0	0	0	0	3
34	15	0	0.759276054	111541.896	110333.233	108715.897	111541.896	2561.5489	0	0	0	0	0	3
35	16	0	0.781607703	111615.589	110459.307	109022.009	111615.589	2591.44369	0	0	0	0	0	3
36	16	0	0.803939351	111689.565	110575.288	109244.903	111689.565	2444.66251	0	0	0	0	0	3
37	16	0	0.826271	111707.345	110682.35	109453.27	111707.345	2254.07497	0	0	0	0	0	3
38	17	0	0.848602649	111666.067	110778.559	109557.803	111707.345	2149.54136	0	0	0	0	0	3
39	17	0	0.870934297	111630.932	110868.695	109661.08	111707.345	2046.26509	0	0	0	0	0	3
40	17	0	0.893265946	111586.895	110952.426	109857.269	111707.345	1850.07572	0	0	0	0	0	3
41	18	0	0.915597595	111417.532	111020.263	109902.458	111707.345	1804.88664	0	0	0	0	0	3
42	18	0	0.937929243	111262.171	111079.381	110044.163	111707.345	1663.18183	0	0	0	0	0	3
43	18	0	0.960260892	111199.305	111129.605	110252.987	111707.345	1454.35733	0	0	0	0	0	3
44	18	0	0.982592541	111104.609	111166.632	110325.07	111707.345	1382.27473	0	0	0	0	0	3
45	19	0	1.00492419	111028.079	111197.198	110430.14	111707.345	1277.20483	479.590275	0	37.5	0	0	3
46	19	0	1.02725584	111099.867	111226.316	110503.545	111707.345	1203.79956	479.590275	0	39.8	0	0	3
47	20	0	1.04958749	111093.033	111251.946	110593.29	111707.345	1114.05522	479.590275	0	43	0	0	3
