Iteration	CPUTime	PhysTime	Travels
1	3	0	0.022387638
2	4	0	0.0447752759
3	5	0	0.0671629139
4	6	0	0.0895505519
5	6	0	0.11193819
6	7	0	0.134325828
7	7	0	0.156713466
8	7	0	0.179101104
9	8	0	0.201488742
10	8	0	0.22387638
11	9	0	0.246264018
12	9	0	0.268651656
13	9	0	0.291039294
14	10	0	0.313426932
15	10	0	0.33581457
16	10	0	0.358202208
17	11	0	0.380589846
18	11	0	0.402977484
19	11	0	0.425365122
20	12	0	0.447752759
21	12	0	0.470140397
22	13	0	0.492528035
23	13	0	0.514915673
24	13	0	0.537303311
25	14	0	0.559690949
26	14	0	0.582078587
27	14	0	0.604466225
28	15	0	0.626853863
29	15	0	0.649241501
30	15	0	0.671629139
31	16	0	0.694016777
32	16	0	0.716404415
33	16	0	0.738792053
34	17	0	0.761179691
35	17	0	0.783567329
36	18	0	0.805954967
37	18	0	0.828342605
38	19	0	0.850730243
39	19	0	0.873117881
40	19	0	0.895505519
41	20	0	0.917893157
42	20	0	0.940280795
43	21	0	0.962668433
44	21	0	0.985056071
45	21	0	1.00744371
46	22	0	1.02983135
47	22	0	1.05221898
48	23	0	1.07460662
49	23	0	1.09699426
50	24	0	1.1193819
51	25	0	1.14176954
52	25	0	1.16415717
53	25	0	1.18654481
54	26	0	1.20893245
