Iteration	CPUTime	PhysTime	Travels
1	10	0	0.0155686651
2	11	0	0.0311373302
3	12	0	0.0467059953
4	13	0	0.0622746604
5	14	0	0.0778433256
6	15	0	0.0934119907
7	16	0	0.108980656
8	17	0	0.124549321
9	18	0	0.140117986
10	19	0	0.155686651
11	20	0	0.171255316
12	21	0	0.186823981
13	22	0	0.202392646
14	23	0	0.217961312
15	23	0	0.233529977
16	24	0	0.249098642
17	25	0	0.264667307
18	26	0	0.280235972
19	27	0	0.295804637
20	28	0	0.311373302
21	29	0	0.326941967
22	30	0	0.342510632
23	31	0	0.358079298
24	33	0	0.373647963
25	33	0	0.389216628
26	35	0	0.404785293
27	36	0	0.420353958
28	37	0	0.435922623
29	37	0	0.451491288
30	38	0	0.467059953
31	39	0	0.482628618
32	40	0	0.498197284
33	41	0	0.513765949
34	42	0	0.529334614
35	43	0	0.544903279
36	44	0	0.560471944
37	45	0	0.576040609
38	46	0	0.591609274
39	47	0	0.607177939
40	48	0	0.622746604
41	49	0	0.63831527
42	50	0	0.653883935
43	51	0	0.6694526
44	51	0	0.685021265
45	53	0	0.70058993
46	53	0	0.716158595
47	54	0	0.73172726
48	55	0	0.747295925
49	56	0	0.76286459
50	57	0	0.778433256
51	58	0	0.794001921
52	59	0	0.809570586
53	60	0	0.825139251
54	60	0	0.840707916
55	61	0	0.856276581
56	62	0	0.871845246
57	63	0	0.887413911
58	64	0	0.902982576
59	65	0	0.918551242
60	66	0	0.934119907
61	67	0	0.949688572
62	68	0	0.965257237
63	70	0	0.980825902
64	71	0	0.996394567
65	72	0	1.01196323
66	73	0	1.0275319
67	74	0	1.04310056
68	75	0	1.05866923
69	76	0	1.07423789
70	77	0	1.08980656
71	78	0	1.10537522
72	79	0	1.12094389
73	80	0	1.13651255
74	81	0	1.15208122
75	82	0	1.16764988
76	83	0	1.18321855
77	84	0	1.19878721
78	86	0	1.21435588
79	86	0	1.22992454
80	87	0	1.24549321
81	88	0	1.26106187
82	89	0	1.27663054
83	90	0	1.2921992
84	91	0	1.30776787
85	93	0	1.32333653
86	94	0	1.3389052
87	95	0	1.35447386
88	96	0	1.37004253
89	97	0	1.38561119
90	98	0	1.40117986
91	99	0	1.41674853
92	100	0	1.43231719
93	101	0	1.44788586
94	102	0	1.46345452
95	103	0	1.47902319
96	104	0	1.49459185
97	105	0	1.51016052
98	106	0	1.52572918
99	106	0	1.54129785
100	107	0	1.55686651
101	109	0	1.57243518
102	110	0	1.58800384
103	111	0	1.60357251
104	112	0	1.61914117
105	113	0	1.63470984
106	114	0	1.6502785
107	115	0	1.66584717
108	116	0	1.68141583
109	116	0	1.6969845
110	117	0	1.71255316
111	118	0	1.72812183
