Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	10	0	0.0155686651	0.773758568	0.773758568	0.773758568	0.773758568	0	0	0	0	0	0	3
2	11	0	0.0311373302	0.773933389	0.773845978	0.773758568	0.773933389	8.7410567e-05	0	0	0	0	0	3
3	12	0	0.0467059953	0.773936958	0.773876305	0.773758568	0.773936958	0.000117736959	0	0	0	0	0	3
4	13	0	0.0622746604	0.773933597	0.773890628	0.773758568	0.773936958	0.000132060021	0	0	0	0	0	3
5	14	0	0.0778433256	0.773921209	0.773896744	0.773758568	0.773936958	0.000138176313	0	0	0	0	0	3
6	15	0	0.0934119907	0.773910451	0.773899029	0.773758568	0.773936958	0.000140460839	0	0	0	0	0	3
7	16	0	0.108980656	0.773897389	0.773898794	0.773758568	0.773936958	0.000140460839	0	0	0	0	0	3
8	17	0	0.124549321	0.773887488	0.773897381	0.773758568	0.773936958	0.000140460839	0	0	0	0	0	3
9	18	0	0.140117986	0.773876797	0.773895094	0.773758568	0.773936958	0.000140460839	0	0	0	0	0	3
10	19	0	0.155686651	0.773866818	0.773892266	0.773758568	0.773936958	0.000140460839	0	0	0	0	0	3
11	20	0	0.171255316	0.77385773	0.773889127	0.773758568	0.773936958	0.000140460839	0	0	0	0	0	3
12	21	0	0.186823981	0.773849741	0.773885845	0.773758568	0.773936958	0.000140460839	0	0	0	0	0	3
13	22	0	0.202392646	0.773843219	0.773882566	0.773758568	0.773936958	0.000140460839	0	0	0	0	0	3
14	23	0	0.217961312	0.773837928	0.773879377	0.773758568	0.773936958	0.000140460839	0	0	0	0	0	3
15	23	0	0.233529977	0.773833907	0.773876346	0.773758568	0.773936958	0.000140460839	0	0	0	0	0	3
16	24	0	0.249098642	0.773830827	0.773873501	0.773758568	0.773936958	0.000140460839	0	0	0	0	0	3
17	25	0	0.264667307	0.773828367	0.773870846	0.773758568	0.773936958	0.000140460839	0	0	0	0	0	3
18	26	0	0.280235972	0.773826448	0.77386838	0.773758568	0.773936958	0.000140460839	0	0	0	0	0	3
19	27	0	0.295804637	0.773824922	0.773866092	0.773758568	0.773936958	0.000140460839	0	0	0	0	0	3
